央视,#genre#
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV2,http://111.29.9.33:6410/200000001898/460000089800010211/1.m3u8?
CCTV3,http://140.245.86.67:50001/1000000001000013682/ystenlive/index.m3u8
CCTV4,http://188.40.97.186:50001/1000000002000031664/ystenlive/index.m3u8
CCTV5,http://111.29.9.33:6410/200000001898/460000089800010145/1.m3u8?
CCTV5+,http://111.29.9.33:6410/200000001898/460000089800010202/1.m3u8?
CCTV6,http://111.29.9.33:6410/200000001898/460000089800010214/1.m3u8?
CCTV7,http://111.29.9.33:6410/200000001898/460000089800010215/1.m3u8?
CCTV8,http://111.29.9.33:6410/200000001898/460000089800010216/1.m3u8?
CCTV9,http://111.29.9.33:6410/200000001898/460000089800010052/1.m3u8?
CCTV10,http://111.29.9.33:6610/000000001000/1000000001000023734/index.m3u8?channel-id=bestzb&Contentid=1000000001000023734&livemode=1&stbId=3
CCTV11,http://111.29.9.33:6410/200000001898/460000089800010092/1.m3u8?
CCTV12,http://111.29.9.33:6410/200000001898/460000089800010205/1.m3u8?
CCTV13,http://111.29.9.33:6410/200000001898/460000089800010093/1.m3u8?
CCTV14,http://111.29.9.33:6410/200000001898/460000089800010207/1.m3u8?


卫视,#genre#
广东卫视,http://111.29.9.33:6410/200000001898/460000089800010055/1.m3u8?
大湾区卫视,http://113.65.7.94:8888/udp/239.77.0.215:5146

港澳台,#genre#
翡翠台4K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
